	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_genres	album_popularity	album_release_date
0	68	1GOiMxQXZUzjzH0Sxpck0B	5NipqMGsY4AUeb7kGT8aVz	5ForRoVEwhqUlu6jcbgdaa	Дежавю	kizaru	Karmageddon	True	1	1	spotify:track:1GOiMxQXZUzjzH0Sxpck0B	87.509	audio_features	2	-5.18	1	0.143	0.108	0.231	0.801	0.591	https://api.spotify.com/v1/tracks/1GOiMxQXZUzjzH0Sxpck0B	https://api.spotify.com/v1/audio-analysis/1GOiMxQXZUzjzH0Sxpck0B	173725	4	0.0186	0.0	['russian hip hop', 'russian trap']	69	[]	65	2019-08-15
1	56	5bgOnX2KXKiC006R5hnHAJ	5NipqMGsY4AUeb7kGT8aVz	5ForRoVEwhqUlu6jcbgdaa	Money long	kizaru	Karmageddon	True	1	6	spotify:track:5bgOnX2KXKiC006R5hnHAJ	95.02	audio_features	10	-4.136	0	0.0374	0.1	0.371	0.744	0.554	https://api.spotify.com/v1/tracks/5bgOnX2KXKiC006R5hnHAJ	https://api.spotify.com/v1/audio-analysis/5bgOnX2KXKiC006R5hnHAJ	134951	4	0.37	0.0	['russian hip hop', 'russian trap']	69	[]	65	2019-08-15
2	54	0C2YeGXjCRdZ8aXpcsuNQz	5NipqMGsY4AUeb7kGT8aVz	5ForRoVEwhqUlu6jcbgdaa	Deep End	kizaru	Karmageddon	True	1	7	spotify:track:0C2YeGXjCRdZ8aXpcsuNQz	84.989	audio_features	6	-6.305	0	0.337	0.103	0.678	0.865	0.832	https://api.spotify.com/v1/tracks/0C2YeGXjCRdZ8aXpcsuNQz	https://api.spotify.com/v1/audio-analysis/0C2YeGXjCRdZ8aXpcsuNQz	272847	4	0.0959	0.0	['russian hip hop', 'russian trap']	69	[]	65	2019-08-15
3	52	28SgBWL4UoVbK9lGuHmCsS	5NipqMGsY4AUeb7kGT8aVz	5ForRoVEwhqUlu6jcbgdaa	Держу район	kizaru	Karmageddon	True	1	4	spotify:track:28SgBWL4UoVbK9lGuHmCsS	137.004	audio_features	9	-5.338	1	0.182	0.0641	0.391	0.921	0.739	https://api.spotify.com/v1/tracks/28SgBWL4UoVbK9lGuHmCsS	https://api.spotify.com/v1/audio-analysis/28SgBWL4UoVbK9lGuHmCsS	225303	4	0.122	7.93e-06	['russian hip hop', 'russian trap']	69	[]	65	2019-08-15
4	49	5n64i7WTAiJupsbrMmuX3W	5NipqMGsY4AUeb7kGT8aVz	5ForRoVEwhqUlu6jcbgdaa	Психопат-лунатик	kizaru	Karmageddon	True	1	10	spotify:track:5n64i7WTAiJupsbrMmuX3W	147.98	audio_features	0	-8.159	1	0.0888	0.0725	0.662	0.883	0.628	https://api.spotify.com/v1/tracks/5n64i7WTAiJupsbrMmuX3W	https://api.spotify.com/v1/audio-analysis/5n64i7WTAiJupsbrMmuX3W	176723	4	0.126	0.0	['russian hip hop', 'russian trap']	69	[]	65	2019-08-15
5	44	3dM2uGypE2f1hU529pVGlI	5NipqMGsY4AUeb7kGT8aVz	5ForRoVEwhqUlu6jcbgdaa	Водопад	kizaru	Karmageddon	True	1	3	spotify:track:3dM2uGypE2f1hU529pVGlI	144.088	audio_features	6	-6.215	0	0.149	0.122	0.727	0.724	0.844	https://api.spotify.com/v1/tracks/3dM2uGypE2f1hU529pVGlI	https://api.spotify.com/v1/audio-analysis/3dM2uGypE2f1hU529pVGlI	175446	4	0.0146	0.0	['russian hip hop', 'russian trap']	69	[]	65	2019-08-15
6	43	1pF9eqrxTS2MvMEO38KWXe	5NipqMGsY4AUeb7kGT8aVz	5ForRoVEwhqUlu6jcbgdaa	Top Dog	kizaru	Karmageddon	True	1	2	spotify:track:1pF9eqrxTS2MvMEO38KWXe	129.934	audio_features	10	-4.51	0	0.0839	0.169	0.647	0.882	0.571	https://api.spotify.com/v1/tracks/1pF9eqrxTS2MvMEO38KWXe	https://api.spotify.com/v1/audio-analysis/1pF9eqrxTS2MvMEO38KWXe	139830	4	0.0806	0.0	['russian hip hop', 'russian trap']	69	[]	65	2019-08-15
7	42	0bB3QboKLGo8ba1eKzBtmU	5NipqMGsY4AUeb7kGT8aVz	5ForRoVEwhqUlu6jcbgdaa	Исповедь	kizaru	Karmageddon	True	1	15	spotify:track:0bB3QboKLGo8ba1eKzBtmU	146.488	audio_features	0	-5.486	1	0.171	0.227	0.328	0.811	0.624	https://api.spotify.com/v1/tracks/0bB3QboKLGo8ba1eKzBtmU	https://api.spotify.com/v1/audio-analysis/0bB3QboKLGo8ba1eKzBtmU	196174	4	0.0385	1.15e-05	['russian hip hop', 'russian trap']	69	[]	65	2019-08-15
8	42	5x1H7naZHIFCCt1YjKs2F9	5NipqMGsY4AUeb7kGT8aVz	5ForRoVEwhqUlu6jcbgdaa	Все что угодно	kizaru	Karmageddon	True	1	5	spotify:track:5x1H7naZHIFCCt1YjKs2F9	171.995	audio_features	1	-4.766	1	0.19	0.113	0.393	0.704	0.795	https://api.spotify.com/v1/tracks/5x1H7naZHIFCCt1YjKs2F9	https://api.spotify.com/v1/audio-analysis/5x1H7naZHIFCCt1YjKs2F9	142923	4	0.254	7.99e-06	['russian hip hop', 'russian trap']	69	[]	65	2019-08-15
9	41	2256lVdNni4N93tb5Pu3QR	5NipqMGsY4AUeb7kGT8aVz	5ForRoVEwhqUlu6jcbgdaa	Сим салабим	kizaru	Karmageddon	True	1	8	spotify:track:2256lVdNni4N93tb5Pu3QR	130.012	audio_features	9	-8.291	1	0.165	0.134	0.572	0.863	0.585	https://api.spotify.com/v1/tracks/2256lVdNni4N93tb5Pu3QR	https://api.spotify.com/v1/audio-analysis/2256lVdNni4N93tb5Pu3QR	208171	4	0.393	0.0	['russian hip hop', 'russian trap']	69	[]	65	2019-08-15
