	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_genres	album_popularity	album_release_date
0	55	0x4sWJCbPFs49DxIBEyXco	10oSboDn5ncLNjjFIgJXm6	0MlTkgHZgVfKAmfblPD139	Батареи	Нервы	Всё что вокруг	False	1	4	spotify:track:0x4sWJCbPFs49DxIBEyXco	149.994	audio_features	1	-10.932	0	0.138	0.443	0.743	0.569	0.736	https://api.spotify.com/v1/tracks/0x4sWJCbPFs49DxIBEyXco	https://api.spotify.com/v1/audio-analysis/0x4sWJCbPFs49DxIBEyXco	193253	4	0.0972	0.0	['russian pop']	56	[]	57	2012-01-01
1	52	6esUtNJVo16CIhhICseWn9	10oSboDn5ncLNjjFIgJXm6	0MlTkgHZgVfKAmfblPD139	Кофе мой друг	Нервы	Всё что вокруг	False	1	14	spotify:track:6esUtNJVo16CIhhICseWn9	148.067	audio_features	1	-11.221	0	0.0395	0.198	0.176	0.303	0.409	https://api.spotify.com/v1/tracks/6esUtNJVo16CIhhICseWn9	https://api.spotify.com/v1/audio-analysis/6esUtNJVo16CIhhICseWn9	187827	4	0.036	4.2e-06	['russian pop']	56	[]	57	2012-01-01
2	49	60hXG98acUAK0raKvBBweL	10oSboDn5ncLNjjFIgJXm6	0MlTkgHZgVfKAmfblPD139	Нервы	Нервы	Всё что вокруг	False	1	1	spotify:track:60hXG98acUAK0raKvBBweL	90.856	audio_features	10	-10.002	1	0.0899	0.0595	0.307	0.397	0.833	https://api.spotify.com/v1/tracks/60hXG98acUAK0raKvBBweL	https://api.spotify.com/v1/audio-analysis/60hXG98acUAK0raKvBBweL	158880	4	0.000909	0.0	['russian pop']	56	[]	57	2012-01-01
3	47	0beCs1VeJYE1l6ap34s4YG	10oSboDn5ncLNjjFIgJXm6	0MlTkgHZgVfKAmfblPD139	Глупая	Нервы	Всё что вокруг	False	1	9	spotify:track:0beCs1VeJYE1l6ap34s4YG	131.829	audio_features	2	-11.246	0	0.039	0.0906	0.554	0.69	0.498	https://api.spotify.com/v1/tracks/0beCs1VeJYE1l6ap34s4YG	https://api.spotify.com/v1/audio-analysis/0beCs1VeJYE1l6ap34s4YG	212640	4	0.0208	0.0	['russian pop']	56	[]	57	2012-01-01
4	43	1xD4AEAgAXLaPFiRE99I9A	10oSboDn5ncLNjjFIgJXm6	0MlTkgHZgVfKAmfblPD139	Муза	Нервы	Всё что вокруг	False	1	15	spotify:track:1xD4AEAgAXLaPFiRE99I9A	141.995	audio_features	6	-10.722	0	0.0521	0.0834	0.619	0.676	0.623	https://api.spotify.com/v1/tracks/1xD4AEAgAXLaPFiRE99I9A	https://api.spotify.com/v1/audio-analysis/1xD4AEAgAXLaPFiRE99I9A	172840	4	0.133	0.0	['russian pop']	56	[]	57	2012-01-01
5	40	4i0ORctHM4sJJJFJO4Z68E	10oSboDn5ncLNjjFIgJXm6	0MlTkgHZgVfKAmfblPD139	Курим	Нервы	Всё что вокруг	False	1	6	spotify:track:4i0ORctHM4sJJJFJO4Z68E	94.499	audio_features	7	-11.184	1	0.0273	0.112	0.28	0.659	0.476	https://api.spotify.com/v1/tracks/4i0ORctHM4sJJJFJO4Z68E	https://api.spotify.com/v1/audio-analysis/4i0ORctHM4sJJJFJO4Z68E	234187	4	0.0233	0.0	['russian pop']	56	[]	57	2012-01-01
6	38	4jsW2wQBLb15C0tHNuC3CJ	10oSboDn5ncLNjjFIgJXm6	0MlTkgHZgVfKAmfblPD139	Слишком влюблён	Нервы	Всё что вокруг	False	1	5	spotify:track:4jsW2wQBLb15C0tHNuC3CJ	83.804	audio_features	1	-7.735	0	0.107	0.0945	0.342	0.646	0.609	https://api.spotify.com/v1/tracks/4jsW2wQBLb15C0tHNuC3CJ	https://api.spotify.com/v1/audio-analysis/4jsW2wQBLb15C0tHNuC3CJ	201293	4	0.235	0.0	['russian pop']	56	[]	57	2012-01-01
7	37	4DDomRJT8SdryVwjJIAnFy	10oSboDn5ncLNjjFIgJXm6	0MlTkgHZgVfKAmfblPD139	Будем друзьями	Нервы	Всё что вокруг	False	1	8	spotify:track:4DDomRJT8SdryVwjJIAnFy	153.874	audio_features	7	-10.424	1	0.223	0.0189	0.489	0.552	0.725	https://api.spotify.com/v1/tracks/4DDomRJT8SdryVwjJIAnFy	https://api.spotify.com/v1/audio-analysis/4DDomRJT8SdryVwjJIAnFy	205947	4	0.0127	0.0	['russian pop']	56	[]	57	2012-01-01
8	36	2T4rLtBn4SAddJGOYyoIuG	10oSboDn5ncLNjjFIgJXm6	0MlTkgHZgVfKAmfblPD139	Бей моё сердце	Нервы	Всё что вокруг	False	1	2	spotify:track:2T4rLtBn4SAddJGOYyoIuG	110.974	audio_features	11	-10.187	1	0.0532	0.0908	0.652	0.673	0.681	https://api.spotify.com/v1/tracks/2T4rLtBn4SAddJGOYyoIuG	https://api.spotify.com/v1/audio-analysis/2T4rLtBn4SAddJGOYyoIuG	177347	4	0.00778	0.0	['russian pop']	56	[]	57	2012-01-01
9	33	52hfGAQSL83i3pVnVLtgtI	10oSboDn5ncLNjjFIgJXm6	0MlTkgHZgVfKAmfblPD139	Вклочья	Нервы	Всё что вокруг	False	1	12	spotify:track:52hfGAQSL83i3pVnVLtgtI	120.033	audio_features	11	-10.649	1	0.166	0.18	0.594	0.686	0.711	https://api.spotify.com/v1/tracks/52hfGAQSL83i3pVnVLtgtI	https://api.spotify.com/v1/audio-analysis/52hfGAQSL83i3pVnVLtgtI	181693	3	0.121	0.0	['russian pop']	56	[]	57	2012-01-01
