	popularity	song_id	artist_id	album_id	song_name	artist_name	album_name	explicit	disc_number	track_number	uri	tempo	type	key	loudness	mode	speechiness	liveness	valence	danceability	energy	track_href	analysis_url	duration_ms	time_signature	acousticness	instrumentalness	artist_genres	artist_popularity	album_genres	album_popularity	album_release_date
0	68	1hfISzdAwnywAKxaSpfloo	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Положение	Scriptonite	Уроборос: Улица 36	True	1	6	spotify:track:1hfISzdAwnywAKxaSpfloo	62.922	audio_features	1	-8.893	0	0.322	0.146	0.243	0.58	0.539	https://api.spotify.com/v1/tracks/1hfISzdAwnywAKxaSpfloo	https://api.spotify.com/v1/audio-analysis/1hfISzdAwnywAKxaSpfloo	282621	4	0.542	0.000292	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
1	57	3a7g2znpwe4DUEAsZXkWHw	3vvLuXEEf7sl3izJcw0GIn	4AazRccPqHpoIxedRFfurN	Животные	Scriptonite	Уроборос: Улица 36	True	1	2	spotify:track:3a7g2znpwe4DUEAsZXkWHw	176.049	audio_features	10	-5.975	0	0.276	0.733	0.593	0.698	0.804	https://api.spotify.com/v1/tracks/3a7g2znpwe4DUEAsZXkWHw	https://api.spotify.com/v1/audio-analysis/3a7g2znpwe4DUEAsZXkWHw	182562	4	0.00865	4.55e-05	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	64	2017-12-16
2	61	2z8QxqQ6Kesq4NFfi7A638	3vvLuXEEf7sl3izJcw0GIn	0QPnYmkBrXfNPjH74AdCiv	Цепи	Scriptonite	Праздник на улице 36	True	1	4	spotify:track:2z8QxqQ6Kesq4NFfi7A638	159.96	audio_features	1	-8.797	1	0.31	0.262	0.564	0.719	0.661	https://api.spotify.com/v1/tracks/2z8QxqQ6Kesq4NFfi7A638	https://api.spotify.com/v1/audio-analysis/2z8QxqQ6Kesq4NFfi7A638	207161	4	0.0338	0.0	['kazakh pop', 'russian hip hop', 'russian pop', 'russian trap']	69	[]	60	2017-05-24
3	68	5rwsJbBNa8SfPW4oFA1GjP	6L5bLEtpxwd0KOdOr3gtW4	3hFlDvKI3HMUR8jylN2Xqs	I Got Love	MiyaGi & Endspiel	I Got Love	False	1	1	spotify:track:5rwsJbBNa8SfPW4oFA1GjP	106.035	audio_features	5	-4.361	1	0.199	0.15	0.233	0.665	0.872	https://api.spotify.com/v1/tracks/5rwsJbBNa8SfPW4oFA1GjP	https://api.spotify.com/v1/audio-analysis/5rwsJbBNa8SfPW4oFA1GjP	276688	4	0.146	0.0	['estonian hip hop', 'russian hip hop', 'russian trap', 'uzbek pop']	64	[]	61	2017-06-01
4	59	5mMbmRJSydS5WA6LhRNZwc	6L5bLEtpxwd0KOdOr3gtW4	2bAT4RCDlmDg1H02HOVZCk	DLBM	MiyaGi & Endspiel	DLBM	True	1	1	spotify:track:5mMbmRJSydS5WA6LhRNZwc	99.646	audio_features	7	-1.853	0	0.0605	0.27	0.263	0.443	0.737	https://api.spotify.com/v1/tracks/5mMbmRJSydS5WA6LhRNZwc	https://api.spotify.com/v1/audio-analysis/5mMbmRJSydS5WA6LhRNZwc	153600	4	0.191	1.16e-06	['estonian hip hop', 'russian hip hop', 'russian trap', 'uzbek pop']	64	[]	52	2017-08-05
5	58	2sgyUEjvzSW0l6NgFBZ4Dt	2n6CVwo43YvjiTgcPxYWrf	3tpqIx5aDYBLkVxvHJnOQy	Танцуйте	ATL	Лимб	True	1	10	spotify:track:2sgyUEjvzSW0l6NgFBZ4Dt	100.113	audio_features	11	-5.737	0	0.178	0.0736	0.516	0.701	0.793	https://api.spotify.com/v1/tracks/2sgyUEjvzSW0l6NgFBZ4Dt	https://api.spotify.com/v1/audio-analysis/2sgyUEjvzSW0l6NgFBZ4Dt	220800	4	0.0614	1.13e-06	['russian hip hop', 'russian trap']	61	[]	58	2017-03-22
6	52	3Y6FXwWS2zRZWdXsH3nfk9	2n6CVwo43YvjiTgcPxYWrf	3tpqIx5aDYBLkVxvHJnOQy	Астронавт	ATL	Лимб	False	1	11	spotify:track:3Y6FXwWS2zRZWdXsH3nfk9	129.748	audio_features	3	-5.466	0	0.294	0.108	0.582	0.549	0.868	https://api.spotify.com/v1/tracks/3Y6FXwWS2zRZWdXsH3nfk9	https://api.spotify.com/v1/audio-analysis/3Y6FXwWS2zRZWdXsH3nfk9	177231	4	0.478	0.000922	['russian hip hop', 'russian trap']	61	[]	58	2017-03-22
7	57	0pJQI29n8ZfWTTUWn6Ncvb	47jBQjRmURjRn3XfLIaHvV	7xAvcRhj4vF1OeGyctmGu1	Я так соскучился	Pornofilmy	В диапазоне между отчаянием и надеждой	False	1	13	spotify:track:0pJQI29n8ZfWTTUWn6Ncvb	101.507	audio_features	9	-4.976	0	0.043	0.0898	0.182	0.326	0.796	https://api.spotify.com/v1/tracks/0pJQI29n8ZfWTTUWn6Ncvb	https://api.spotify.com/v1/audio-analysis/0pJQI29n8ZfWTTUWn6Ncvb	408875	4	0.000584	0.00255	['russian pop punk', 'russian punk', 'russian punk rock', 'russian rock']	58	[]	59	2017-10-02
8	55	0H3psucTJQLU4sS6wVU1dg	47jBQjRmURjRn3XfLIaHvV	7xAvcRhj4vF1OeGyctmGu1	Россия для грустных	Pornofilmy	В диапазоне между отчаянием и надеждой	True	1	1	spotify:track:0H3psucTJQLU4sS6wVU1dg	93.926	audio_features	6	-4.067	0	0.0914	0.366	0.391	0.426	0.932	https://api.spotify.com/v1/tracks/0H3psucTJQLU4sS6wVU1dg	https://api.spotify.com/v1/audio-analysis/0H3psucTJQLU4sS6wVU1dg	179461	4	0.000243	7.25e-05	['russian pop punk', 'russian punk', 'russian punk rock', 'russian rock']	58	[]	59	2017-10-02
9	58	5rUVxBANEvn1VWhniyQLxo	4czIzL9okaRTTUoI8KFB9v	6yK6kjjUaUXVn4Ryuw04oG	"Бар ""2 лесбухи"""	JILLZAY	Open Season	True	1	4	spotify:track:5rUVxBANEvn1VWhniyQLxo	114.023	audio_features	2	-10.737	1	0.334	0.0622	0.329	0.833	0.335	https://api.spotify.com/v1/tracks/5rUVxBANEvn1VWhniyQLxo	https://api.spotify.com/v1/audio-analysis/5rUVxBANEvn1VWhniyQLxo	237368	4	0.255	8.95e-05	['kavkaz', 'russian hip hop']	45	[]	51	2017-03-08
10	82	0S0vWvyZ6Rc79TXkWxT9QA	2kCcBybjl3SAtIcwdWpUe3	33TJ52PuwenGmysJrwMGCe	Save That Shit	Lil Peep	Come Over When You're Sober, Pt. 1	True	1	2	spotify:track:0S0vWvyZ6Rc79TXkWxT9QA	105.997	audio_features	2	-8.672	1	0.0288	0.421	0.145	0.534	0.583	https://api.spotify.com/v1/tracks/0S0vWvyZ6Rc79TXkWxT9QA	https://api.spotify.com/v1/audio-analysis/0S0vWvyZ6Rc79TXkWxT9QA	231547	4	0.0262	0.0	['emo rap', 'lgbtq+ hip hop']	88	[]	83	2017-08-15
11	77	3kBD2xHIqKWXjLAGidDTSz	2kCcBybjl3SAtIcwdWpUe3	33TJ52PuwenGmysJrwMGCe	Benz Truck (гелик)	Lil Peep	Come Over When You're Sober, Pt. 1	True	1	1	spotify:track:3kBD2xHIqKWXjLAGidDTSz	92.02	audio_features	2	-6.149	0	0.0347	0.121	0.112	0.602	0.762	https://api.spotify.com/v1/tracks/3kBD2xHIqKWXjLAGidDTSz	https://api.spotify.com/v1/audio-analysis/3kBD2xHIqKWXjLAGidDTSz	159987	4	0.0498	0.00819	['emo rap', 'lgbtq+ hip hop']	88	[]	83	2017-08-15
12	76	7Hr2XoaGpIMKbNXCZDZ3le	2kCcBybjl3SAtIcwdWpUe3	33TJ52PuwenGmysJrwMGCe	Awful Things	Lil Peep	Come Over When You're Sober, Pt. 1	True	1	3	spotify:track:7Hr2XoaGpIMKbNXCZDZ3le	170.033	audio_features	1	-4.923	0	0.0823	0.0694	0.181	0.368	0.796	https://api.spotify.com/v1/tracks/7Hr2XoaGpIMKbNXCZDZ3le	https://api.spotify.com/v1/audio-analysis/7Hr2XoaGpIMKbNXCZDZ3le	214427	4	0.0157	0.0	['emo rap', 'lgbtq+ hip hop']	88	[]	83	2017-08-15
13	80	7hf89cT5FEmLV5E9fjrjG7	2kCcBybjl3SAtIcwdWpUe3	69nnJOr40uKMOFvB1sSKLp	Beamer Boy	Lil Peep	Beamer Boy	True	1	1	spotify:track:7hf89cT5FEmLV5E9fjrjG7	123.994	audio_features	8	-4.511	1	0.104	0.227	0.339	0.743	0.732	https://api.spotify.com/v1/tracks/7hf89cT5FEmLV5E9fjrjG7	https://api.spotify.com/v1/audio-analysis/7hf89cT5FEmLV5E9fjrjG7	203373	4	0.0509	1.77e-05	['emo rap', 'lgbtq+ hip hop']	88	[]	73	2017-06-08
14	58	6heHgVgFclP45j1LX5vmtd	3Vfd5HJnhjnvdyuQYHtYa2	4anXnkkcNhcV1LYb61QT7N	Fata Morgana	Markul	Fata Morgana	True	1	1	spotify:track:6heHgVgFclP45j1LX5vmtd	96.993	audio_features	2	-6.349	1	0.0714	0.135	0.132	0.72	0.635	https://api.spotify.com/v1/tracks/6heHgVgFclP45j1LX5vmtd	https://api.spotify.com/v1/audio-analysis/6heHgVgFclP45j1LX5vmtd	183094	4	0.274	0.0	['russian hip hop', 'russian pop', 'russian trap']	60	[]	51	2017-09-21
15	59	7FuvJwX4VDPE0bAIq9tfbP	01lZudgXsojt5TBHuygB8r	6YU74d9vNnBhgtwHlvLN7d	Ламбада	T-Fest	Ламбада	True	1	1	spotify:track:7FuvJwX4VDPE0bAIq9tfbP	95.999	audio_features	2	-7.187	1	0.2	0.138	0.185	0.782	0.532	https://api.spotify.com/v1/tracks/7FuvJwX4VDPE0bAIq9tfbP	https://api.spotify.com/v1/audio-analysis/7FuvJwX4VDPE0bAIq9tfbP	198125	4	0.0262	0.0	['russian hip hop', 'russian pop', 'russian trap']	59	[]	52	2017-03-08
16	57	3BnMwtFr961gmt2ybIFTDH	01lZudgXsojt5TBHuygB8r	42pwbNa1sREIkhFnFs39yV	Улети	T-Fest	Улети	False	1	1	spotify:track:3BnMwtFr961gmt2ybIFTDH	109.959	audio_features	9	-10.024	1	0.0352	0.162	0.208	0.71	0.496	https://api.spotify.com/v1/tracks/3BnMwtFr961gmt2ybIFTDH	https://api.spotify.com/v1/audio-analysis/3BnMwtFr961gmt2ybIFTDH	209477	4	0.0231	4.65e-06	['russian hip hop', 'russian pop', 'russian trap']	59	[]	50	2017-07-21
17	88	7m9OqQk4RVRkw9JJdeAw96	15UsOTVnJzReFVN1VCnxy4	5VdyJkLe3yvOs0l4xXbWp0	Jocelyn Flores	XXXTENTACION	17	True	1	2	spotify:track:7m9OqQk4RVRkw9JJdeAw96	134.021	audio_features	0	-9.144	0	0.242	0.297	0.437	0.872	0.391	https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96	https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96	119133	4	0.469	4.13e-06	['emo rap', 'miami hip hop']	91	[]	89	2017-08-25
18	84	7AQim7LbvFVZJE3O8TYgf2	15UsOTVnJzReFVN1VCnxy4	5VdyJkLe3yvOs0l4xXbWp0	Fuck Love (feat. Trippie Redd)	XXXTENTACION	17	True	1	8	spotify:track:7AQim7LbvFVZJE3O8TYgf2	131.036	audio_features	0	-9.74	0	0.0412	0.103	0.329	0.797	0.533	https://api.spotify.com/v1/tracks/7AQim7LbvFVZJE3O8TYgf2	https://api.spotify.com/v1/audio-analysis/7AQim7LbvFVZJE3O8TYgf2	146520	4	0.0172	0.000152	['emo rap', 'miami hip hop']	91	[]	89	2017-08-25
19	86	3GVkPk8mqxz0itaAriG1L7	15UsOTVnJzReFVN1VCnxy4	5VdyJkLe3yvOs0l4xXbWp0	Everybody Dies In Their Nightmares	XXXTENTACION	17	True	1	4	spotify:track:3GVkPk8mqxz0itaAriG1L7	129.953	audio_features	7	-7.066	0	0.133	0.112	0.689	0.734	0.57	https://api.spotify.com/v1/tracks/3GVkPk8mqxz0itaAriG1L7	https://api.spotify.com/v1/audio-analysis/3GVkPk8mqxz0itaAriG1L7	95467	4	0.847	2.14e-05	['emo rap', 'miami hip hop']	91	[]	89	2017-08-25
20	56	6x4VxcplTRX4tZDNnpXS2Z	4h8pGxEIOi7j4me1yhYxlD	2UIuMufnRTkoI5PHEjQSsd	Монетка	LSP	Tragic City	True	1	2	spotify:track:6x4VxcplTRX4tZDNnpXS2Z	127.975	audio_features	10	-7.174	1	0.0457	0.162	0.157	0.849	0.441	https://api.spotify.com/v1/tracks/6x4VxcplTRX4tZDNnpXS2Z	https://api.spotify.com/v1/audio-analysis/6x4VxcplTRX4tZDNnpXS2Z	200418	4	0.283	1.36e-05	['belarusian hip hop', 'russian alt pop', 'russian hip hop']	64	[]	59	2017-04-28
